title,author,url,kudos,comments,bookmarks,hits,tags,publication_date,word_count
The Ramyeon Project,Claire_ry,https://archiveofourown.org/works/62300431,218,100,7,3985,"No Archive Warnings Apply, Baek Hyunwoo/Hong Haein, Ri Jeong Hyeok/Yoon Se Ri, Baek Hyunwoo (Queen of Tears), Hong Haein, Kim Pilsook, Kim Yanggi, Choi Dal Po | Ki Ha Myung, Go Hyemi, Jin Guk | Hyun Shihyuk, Yoon Se Ri, Ri Jeong Hyeok, BaekHong - Freeform, Alternate Universe - College/University, Tooth-Rotting Fluff, Sequel",22-May-25,30248
Life in between,Anon1304,https://archiveofourown.org/works/63891229,302,94,5,6509,"Creator Chose Not To Use Archive Warnings, Baek Hyunwoo/Hong Haein, Hong Haein, Baek Hyunwoo (Queen of Tears), Baek Soobin, Family, Married Life, Slice of Life, Fluff, Angst, Fluff and Angst, Hurt/Comfort",22-May-25,109253
Still In Love...AND Not Done Yet,Liltash85,https://archiveofourown.org/works/65428525,96,57,3,1611,"Creator Chose Not To Use Archive Warnings, Baek Hyunwoo/Hong Haein, Baek Hyunwoo (Queen of Tears), Hong Haein, Baek Yoo Jin, baekhong - Character, BaekHong - Freeform, QoT, queenoftears, Kim Soo Hyun - Freeform, Kim Ji Won - Freeform, Alternate Universe, Marriage, Married Life, Married Couple, husband and wife, Family, Korean Characters",20-May-25,34572
The King's Gambit,Claire_ry,https://archiveofourown.org/works/57299950,589,268,11,9522,"Creator Chose Not To Use Archive Warnings, Baek Hyunwoo/Hong Haein, Baek Hyunwoo (Queen of Tears), Hong Haein, Hae Soo | Go Hajin (Moon Lovers: Scarlet Heart Ryeo), Angst, Adult Content, sageuk, Alternate Universe - Historical, Drama & Romance, Betrayal, Resentment, Trust, loosely based on real events",16-May-25,88727
King of Clovers,Claire_ry,https://archiveofourown.org/works/56019304,2088,1043,84,70230,"No Archive Warnings Apply, Baek Hyun Woo/Hong Hae In, Baek Hyun Woo, Hong Hae In, Angst, Drama & Romance, Angst and Drama, Love, Fluff, Adult Content, Emotional Roller Coaster, Cancer, BaekHong - Freeform, Healing, Alternate Universe - Canon Divergence",10-May-25,339266
Everlong- Forever Yours,kdrama_chingu001,https://archiveofourown.org/works/62248397,8,11,0,577,"Creator Chose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death, Chase Stein and Kara Winchester, Kara Winchester, Chase Stein, Baek Hyunwoo (Queen of Tears), Hong Haein, fated love, 3am thoughts, Idiots in Love, Tearjerker, Longing, Admiration, Hope, Heartbreak, Time Travel, Red String of Fate, She thought she fell first but actually He fell first and harder, High School, Miscarriage, Marriage, Divorce, Therapy, Depression, Eventual Happy Ending, man in love, Small age gap",10-May-25,3638
A Love Reborn,Liltash85,https://archiveofourown.org/works/61535533,351,60,7,7282,"Creator Chose Not To Use Archive Warnings, Baek Hyunwoo & Hong Haein, Baek Hyunwoo (Queen of Tears), Hong Haein, Jeon Bongae, Baek Miseon, Baek Dugwan, kang hyeon Seok, Queen of Tears - Freeform, Sequel, Marriage, Anticipation, relationship, kim soo hyun (b.1988), Kim Ji Won - Freeform, SooWon - Freeform, BaekHong - Freeform",08-May-25,38631
Twisted,Trivalys,https://archiveofourown.org/works/65279185,12,1,1,141,"Creator Chose Not To Use Archive Warnings, Baek Hyunwoo/Yoon Eunsung (Queen of Tears), Baek Hyunwoo (Queen of Tears), Yoon Eunsung (Queen of Tears), Hong Haein, Moh Seulhee, Obsession, Dom/sub, Faked Suicide, Threats of Violence, Codependency",06-May-25,10424
What Remains of Us,Andrew2032,https://archiveofourown.org/works/64062112,8,3,2,252,"No Archive Warnings Apply, Baek Hyunwoo/Hong Soocheol, Baek Hyunwoo/Hong Soocheol (Queen of Tears), Baek Hyunwoo (Queen of Tears), Hong Soocheol, Hong Soocheol (Queen of Tears), Baek Hyunwoo, Queen of Tears - Freeform, Bisexuality, Making Love, First Time, Gay Male Character, Gay Sex, Top Baek Hyunwoo, Mutual Pining, Feelings Realization, First Kiss, Bottom Hong Soocheol, Cross-Posted on Wattpad",06-May-25,6075
The Way I Loved You,hitbyasweetpotato,https://archiveofourown.org/works/59680915,898,199,28,24237,"Creator Chose Not To Use Archive Warnings, Baek Hyun Woo/Hong Hae In, Baek Hyun Woo, Hong Hae In, Fluff and Angst, Retelling, Drama & Romance, Heartbreak",01-May-25,159795
